date,open,high,low,close,volume,vwap
2025-11-04,268.325,271.486,267.615,270.04,49274846.0,269.7485
2025-11-05,268.61,271.7,266.93,270.14,43683072.0,269.8162
2025-11-06,267.89,273.4,267.89,269.77,51204045.0,270.7137
2025-11-07,269.795,272.29,266.77,268.47,48227365.0,269.0051
2025-11-10,268.96,273.73,267.455,269.43,41312412.0,270.0586
2025-11-11,269.81,275.91,269.8,275.25,46208318.0,274.0647
2025-11-12,275,275.73,271.7,273.47,48397982.0,273.8707
2025-11-13,274.11,276.699,272.09,272.95,49602794.0,273.3661
2025-11-14,271.05,275.96,269.6,272.41,47431331.0,273.1083
2025-11-17,268.815,270.49,265.73,267.46,45018260.0,267.9841
2025-11-18,269.99,270.71,265.32,267.44,45677278.0,267.725
2025-11-19,265.525,272.21,265.5,268.56,40424492.0,269.3251
2025-11-20,270.83,275.43,265.92,266.25,45823568.0,269.4695
2025-11-21,265.95,273.33,265.67,271.49,59030832.0,270.5152
2025-11-24,270.9,277,270.9,275.92,65585796.0,275.314
2025-11-25,275.27,280.38,275.25,276.97,46914220.0,277.9967
2025-11-26,276.96,279.53,276.63,277.55,33431423.0,278.0466
2025-11-28,277.26,279,275.9865,278.85,20135620.0,277.6285
2025-12-01,278.01,283.42,276.14,283.1,46587722.0,281.0702
2025-12-02,283,287.4,282.6301,286.19,53669532.0,285.5944
2025-12-03,286.2,288.62,283.3,284.15,43538687.0,285.5333
2025-12-04,284.095,284.73,278.59,280.7,43989056.0,280.7562
2025-12-05,280.54,281.14,278.05,278.78,47265845.0,279.156
2025-12-08,278.13,279.6693,276.15,277.89,38211832.0,277.5381
2025-12-09,278.16,280.03,276.92,277.18,32193256.0,277.8194
2025-12-10,277.75,279.75,276.44,278.78,33038318.0,278.4798
2025-12-11,279.095,279.59,273.81,278.03,33247986.0,277.1757
2025-12-12,277.9,279.22,276.82,278.28,39532887.0,278.2466
2025-12-15,280.15,280.15,272.84,274.11,50409078.0,274.5069
2025-12-16,272.82,275.5,271.79,274.61,37648628.0,273.8761
2025-12-17,275.01,276.16,271.64,271.84,50138743.0,272.9914
2025-12-18,273.605,273.63,266.95,272.19,51630721.0,271.3364
2025-12-19,272.145,274.6,269.9,273.67,144632048.0,272.8448
2025-12-22,272.86,273.88,270.505,270.97,36571827.0,271.577
2025-12-23,270.84,272.5,269.56,272.36,29641999.0,271.7749
2025-12-24,272.34,275.43,272.195,273.81,17910574.0,274.205
2025-12-26,274.16,275.37,272.86,273.4,21521802.0,274.1259
2025-12-29,272.69,274.36,272.35,273.76,23715213.0,273.6174
2025-12-30,272.81,274.08,272.28,273.08,22139617.0,273.0453
2025-12-31,273.06,273.68,271.75,271.86,27293639.0,272.2995
2026-01-02,272.255,277.84,269,271.01,37838054.0,271.9197
2026-01-05,270.64,271.51,266.14,267.26,45647190.0,267.9755
2026-01-06,267,267.55,262.12,262.36,52352090.0,263.1381
2026-01-07,263.2,263.68,259.81,260.33,48309804.0,261.4392
2026-01-08,257.02,259.29,255.7,259.04,50419337.0,257.4496
2026-01-09,259.075,260.21,256.22,259.37,39996967.0,258.6804
2026-01-12,259.16,261.3,256.8,260.25,45263767.0,260.0061
2026-01-13,258.72,261.81,258.39,261.05,45730847.0,260.3473
2026-01-14,259.49,261.82,256.71,259.96,40019421.0,259.2335
2026-01-15,260.65,261.04,257.05,258.21,39388564.0,258.9417
2026-01-16,257.9,258.9,254.93,255.53,72142773.0,256.2442
2026-01-20,252.73,254.79,243.42,246.7,80267517.0,248.1492
2026-01-21,248.7,251.56,245.18,247.65,54641725.0,247.7151
2026-01-22,249.2,251,248.15,248.35,39708340.0,249.2648
2026-01-23,247.32,249.41,244.68,248.04,41688982.0,247.5598
2026-01-26,251.48,256.56,249.8,255.41,55969234.0,254.6109
2026-01-27,259.17,261.95,258.21,258.27,49648271.0,259.6602
2026-01-28,257.65,258.855,254.51,256.44,41287971.0,256.2135
2026-01-29,258,259.65,254.41,258.28,67253009.0,258.2492
2026-01-30,255.165,261.8999,252.18,259.48,92443408.0,257.6628
2026-02-02,260.03,270.49,259.205,270.01,73913425.0,266.5831
2026-02-03,269.2,271.875,267.61,269.48,64394655.0,269.6176
2026-02-04,272.285,278.95,272.285,276.49,90545710.0,275.9912
2026-02-05,278.13,279.5,273.23,275.91,52977441.0,275.6181
2026-02-06,277.12,280.905,276.925,278.12,50453414.0,278.6274
2026-02-09,277.905,278.2,271.7,274.62,44623396.0,273.8983
2026-02-10,274.885,275.37,272.94,273.68,34376898.0,273.8929
2026-02-11,274.695,280.18,274.45,275.5,51931283.0,276.8673
2026-02-12,275.59,275.72,260.18,261.73,81077229.0,264.268
2026-02-13,262.01,262.23,255.45,255.78,56290673.0,257.9822
2026-02-17,258.05,266.29,255.54,263.88,58469094.0,262.4774
2026-02-18,263.6,266.82,262.45,264.35,34203337.0,264.5654
2026-02-19,262.6,264.48,260.05,260.58,30845294.0,261.7615
2026-02-20,258.97,264.75,258.16,264.58,42070499.0,262.8335
2026-02-23,263.49,269.43,263.381,266.18,37308155.220558,266.5747
2026-02-24,267.86,274.89,267.71,272.14,47014619.809251,272.5277
2026-02-25,271.78,274.94,271.05,274.23,33714342.626628,273.7642
2026-02-26,274.945,276.11,270.795,272.95,32345114.765942,272.6741
2026-02-27,272.81,272.81,262.89,264.18,72366505.221193,265.6195
2026-03-02,262.41,266.53,260.2,264.72,41827946.904771,264.4409
2026-03-03,263.48,265.56,260.13,263.75,38568921.672138,263.1124
2026-03-04,264.65,266.15,261.42,262.52,39803119.557613,263.2544
